Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Unique ID
124,"R Jain, P Jain, C Jain",Behavioral Biases in the Decision Making of Individual Investors.,2015,IUP Journal of Knowledge …,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09729216&AN=108710890&h=YDtHlqOtZTF7Ar5Z9p5sTMp7H%2BzwbxWy8n%2F7kRaXqx508FcwnThbs%2F4ANFTIlsN6OzvAE8LBFt53tYsVcyiA4Q%3D%3D&crl=c,"https://scholar.google.com/scholar?cites=16089308573311791469&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:20,,,,,,,,,124,13.78,41,3,9,"In earlier research, it has been discovered that contrary to the assumptions and theories of conventional finance, many irrational behaviors related to investment judgment occur in real …",,"https://scholar.google.com/scholar?q=related:bXHlEee0SN8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",55
67,"E Eckhaus, Z Sheaffer",Managerial hubris detection: the case of Enron,2018,Risk Management,Springer,https://link.springer.com/article/10.1057/s41283-018-0037-0,"https://scholar.google.com/scholar?cites=364501597994099599&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:20,,10.1057/s41283-018-0037-0,,,,,,,67,11.17,34,2,6,"Hubris is a known risk for leadership failure. We show that hubristic tendencies can be detected semantically ex-ante in textual reports, and offer a novel methodology aimed at …",https://www.researchgate.net/profile/Zachary-Sheaffer/publication/324433070_Managerial_hubris_detection_the_case_of_Enron/links/5c6f81f8a6fdcc471591a979/Managerial-hubris-detection-the-case-of-Enron.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail,"https://scholar.google.com/scholar?q=related:jyOArEX4DgUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",56
26,"SF Shah, MT Alshurideh, A Al-Dmour…",Understanding the influences of cognitive biases on financial decision making during normal and COVID-19 pandemic situation in the United Arab Emirates,2021,The Effect of Coronavirus Disease (COVID-19) on Business Intelligence,Springer,https://link.springer.com/chapter/10.1007/978-3-030-67151-8_15,"https://scholar.google.com/scholar?cites=9441610293871736134&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 15:20,,10.1007/978-3-030-67151-8_15,,,,,,,26,8.67,7,4,3,"The purpose of the study is to identify the effects of behavioral/psychological factors ie overconfidence, anchoring bias, loss aversion, herding effect on financial decision making …",https://www.academia.edu/download/66190745/Springer_Book_Chapter_.pdf,"https://scholar.google.com/scholar?q=related:RnXl2YlWB4MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",57
126,"M Adusei, EYT Obeng",Board gender diversity and the capital structure of microfinance institutions: A global analysis,2019,Quarterly Review of Economics and Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S1062976918301169,"https://scholar.google.com/scholar?cites=1553600228585514580&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:21,,,,,,,,,126,25.2,63,2,5,"As far as we know, the question of whether increasing gender diversity on boards of microfinance institutions carries any implications for their financing decisions has not been …",https://www.academia.edu/download/58697741/adusei_band_obeng_2019.pdf,"https://scholar.google.com/scholar?q=related:VCbOMy1_jxUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",58
97,H Tchakoute Tchuigoua,Capital structure of microfinance institutions,2015,Journal of Financial Services Research,Springer,https://link.springer.com/article/10.1007/s10693-013-0190-2,"https://scholar.google.com/scholar?cites=3346852693028357732&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 15:21,,10.1007/s10693-013-0190-2,,,,,,,97,10.78,97,1,9,This article seeks to answer two questions. What drives the capital structure of microfinance institutions? Does the effect of variables at the microfinance institution's level vary …,,"https://scholar.google.com/scholar?q=related:ZMaDu8poci4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",59
21,?? ????????,????? ??? ????????? ?????? ? ???????? ???????????????????,2020,Russian Journal of Economics and Law,cyberleninka.ru,https://cyberleninka.ru/article/n/audit-mer-podderzhki-malogo-i-srednego-predprinimatelstva,"https://scholar.google.com/scholar?cites=9004727159036301198&as_sdt=2005&sciodt=0,5&hl=en",5,07/04/2024 15:21,HTML,,,,,,,,21,5.25,21,1,4,"????: ???????????? ???????? ??????? ????????????????-????????? ?????????, ?????????????? ??????????? ?????????? ??? ????????? ????????? ?????? ? …",https://cyberleninka.ru/article/n/audit-mer-podderzhki-malogo-i-srednego-predprinimatelstva,"https://scholar.google.com/scholar?q=related:js-rXaQ393wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",60
102,"L Ballotta, E Bonfiglioli",Multivariate asset models using Lévy processes and applications,2016,The European Journal of Finance,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2013.870917,"https://scholar.google.com/scholar?cites=14392047445612040004&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:22,,10.1080/1351847X.2013.870917,,,,,,,102,12.75,51,2,8,"In this paper, we propose a multivariate asset model based on Lévy processes for pricing of products written on more than one underlying asset. Our construction is based on a two …",https://openaccess.city.ac.uk/id/eprint/3936/1/,"https://scholar.google.com/scholar?q=related:RA9GQubSuscJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",61
33,"S Crépey, M Dixon",Gaussian process regression for derivative portfolio modeling and application to CVA computations,2019,,,https://arxiv.org/abs/1901.11081,"https://scholar.google.com/scholar?cites=14720598720877689261&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:22,,,,,,,,,33,6.6,17,2,5,Modeling counterparty risk is computationally challenging because it requires the simultaneous evaluation of all the trades with each counterparty under both market and …,https://arxiv.org/pdf/1901.11081,"https://scholar.google.com/scholar?q=related:rfn7JosSSswJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",62
24,"L Ballotta, G Fusai, D Marazzina",Integrated structural approach to credit value adjustment,2019,European Journal of Operational Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0377221718306313,"https://scholar.google.com/scholar?cites=13340372594153830208&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:22,,,,,,,,,24,4.8,8,3,5,"This paper proposes an integrated pricing framework for Credit Value Adjustment of equity and commodity products. The given framework, in fact, generates dependence …",https://re.public.polimi.it/bitstream/11311/1066977/2/CVA_draft_2018%2BAppendix.pdf,"https://scholar.google.com/scholar?q=related:QDflrTGGIrkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",63
202,"N Hermes, M Hudon",Determinants of the performance of microfinance institutions: A systematic review,2019,Contemporary Topics in Finance: A Collection of Literature Surveys,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119565178.ch10,"https://scholar.google.com/scholar?cites=15449084775645994291&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:22,,10.1002/9781119565178.ch10,,,,,,,202,40.4,101,2,5,This chapter focuses on the literature that discusses the performance of microfinance institutions (MFIs). It provides a systematic overview of research that analyses the …,https://research.rug.nl/files/61956272/2018008_EEF_def.pdf,"https://scholar.google.com/scholar?q=related:M11GLcAsZtYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",64
46,"H Tchakoute-Tchuigoua, I Soumaré",The effect of loan approval decentralization on microfinance institutions' outreach and loan portfolio quality,2019,Journal of Business Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0148296318304715,"https://scholar.google.com/scholar?cites=14064390357842437678&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:22,,,,,,,,,46,9.2,23,2,5,"We study the impact of loan approval decentralization on MFI portfolio quality and outreach, and the effects of alignment mechanisms when loan officers combine information production …",,"https://scholar.google.com/scholar?q=related:LqagnYPALsMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",65
23,M Adusei,The liquidity risk–financial performance nexus: Evidence from hybrid financial institutions,2022,Managerial and Decision Economics,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/mde.3357,"https://scholar.google.com/scholar?cites=6224388650832672734&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 15:22,,10.1002/mde.3357,,,,,,,23,11.5,23,1,2,This paper uses a sample of 532 microfinance institutions (MFIs) in 73 countries to investigate the effect of liquidity risk on the financial performance of MFIs and also enquires …,https://www.academia.edu/download/81383534/LIQUIDITY_PAPER_2022.pdf,"https://scholar.google.com/scholar?q=related:3rfa7H94YVYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",66
58,"BS Meiselman, S Nagel, A Purnanandam",Judging banks' risk by the profits they report,2023,NBER,nber.org,https://www.nber.org/papers/w31635,"https://scholar.google.com/scholar?cites=10721289083925080060&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:22,,,,,,,,,58,58.0,19,3,1,"In competitive capital markets, risky debt claims that offer high yields in good times have high systematic risk exposure in bad times. We apply this idea to bank risk measurement …",https://www.nber.org/system/files/working_papers/w31635/w31635.pdf,"https://scholar.google.com/scholar?q=related:_KegNZ6ryZQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",67
25,"BW Kori, S Muathe, SM Maina",Financial and non-financial measures in evaluating Performance: the role of strategic intelligence in the context of commercial banks in Kenya,2020,International Business Research,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/b9c9/92610c211d89df09b6f5ce4c28223efa564f.pdf,"https://scholar.google.com/scholar?cites=3265049803764201334&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:22,PDF,,,,,,,,25,6.25,8,3,4,"This study provides comprehensive discussion on role of strategic intelligence in commercial banks, in Kenyan context. The primary focus was to evaluate the performance of …",https://pdfs.semanticscholar.org/b9c9/92610c211d89df09b6f5ce4c28223efa564f.pdf,"https://scholar.google.com/scholar?q=related:dvdSX3_JTy0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",68
6,"A Aytaç Emin, B Dalg?ç, T Azrak",Constructing a banking fragility index for Islamic banks: definition impact on the predictive power of an early warning system,2021,Applied Economics Letters,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13504851.2020.1834497,"https://scholar.google.com/scholar?cites=5865290713581100502&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:22,,10.1080/13504851.2020.1834497,,,,,,,6,2.0,2,3,3,This study aims to construct a banking sector fragility index for Islamic banks that gives substantial predictive power results. We develop various banking sector fragility indices …,https://www.researchgate.net/profile/Tawfik-Azrak/publication/344768137_Constructing_a_banking_fragility_index_for_Islamic_banks_definition_impact_on_the_predictive_power_of_an_early_warning_system/links/62d121c8eb4df71b51b04117/Constructing-a-banking-fragility-index-for-Islamic-banks-definition-impact-on-the-predictive-power-of-an-early-warning-system.pdf,"https://scholar.google.com/scholar?q=related:1h1mD9SyZVEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",69
175,"C Marquardt, E Zur",The role of accounting quality in the M&A market,2015,Management Science,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2013.1873,"https://scholar.google.com/scholar?cites=14056816481545832733&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:23,,10.1287/mnsc.2013.1873,,,,,,,175,19.44,88,2,9,We examine the role of target firms' accounting quality in the merger and acquisition process. We predict that target firm accounting quality will be positively associated with (1) …,,"https://scholar.google.com/scholar?q=related:HUllHx3YE8MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",70
43,"JP Fidrmuc, C Xia",M&A deal initiation and managerial motivation,2019,Journal of Corporate Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S0929119917300639,"https://scholar.google.com/scholar?cites=2906368354648403528&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 15:23,,,,,,,,,43,8.6,22,2,5,This paper contributes to our understanding of managers' motivations for initiating the sale of their company. Using a sample of 1098 publicly-listed US target firms with completed deals …,https://www.researchgate.net/profile/Jana-Fidrmuc/publication/314696583_MA_Deal_Initiation_and_Managerial_Motivation/links/6408a3890cf1030a5683dc31/M-A-Deal-Initiation-and-Managerial-Motivation.pdf,"https://scholar.google.com/scholar?q=related:SC5BtZ5-VSgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",71
